Price,Title,City,Date
160.0,"
        RAM памет, 2 X 8 GB, 3000 MHz, DDR4    ",Дружба 1,"в 13:56, 18 април 2020"
99.0,"
        Продавам Проверени Рам Памети за Настолни Samsung 2x8Gb DDR4 2133Mhz    ",Гоце Делчев,"в 13:11, 18 април 2020"
239.0,"
        Отлични HP Probook 6550b - 2.4i3 4/8gb ram 160gb HDD/SSD Windows 10    ",Младост 3,"в 13:37, 9 април 2020"
155.0,"
        Рам памет Corsair Vengeance LPX 16GB 2 x 8GB DDR4 3000Mhz    ",Слатина,"в 21:25, 18 април 2020"
160.0,"
        RAM памет, 2 X 8 GB, 3000 MHz, DDR4    ",Дружба 1,"в 13:56, 18 април 2020"
99.0,"
        Продавам Проверени Рам Памети за Настолни Samsung 2x8Gb DDR4 2133Mhz    ",Гоце Делчев,"в 13:11, 18 април 2020"
12.0,"
        RAM памет DDR2 4x2GB 800MHz - 8gb    ",Гео Милев,"в 12:53, 18 април 2020"
139.0,"
        Рам памет G SKILL Ares 16GB 2x8GB DDR3 2400Mhz    ",Слатина,"в 19:54, 17 април 2020"
99.0,"
        Нов телефон LEAGOO Z10 Android O 5.0""Disp 18:9 1GB RAM 8GB ROM 2x5MP    ",Идеален център,"в 13:15, 17 април 2020"
60.0,"
        Kingston 2x4gb (8gb) DDR4 RAM 2400mhz    ",Славия,"в 20:16, 16 април 2020"
119.0,"
        16GB DDR3 Kingston 1600Mhz HyperX RAM памет CL9 2x8GB    ",Младост 1,"в 18:57, 16 април 2020"
80.0,"
        RAM памет Corsair 2x4=8Gb DDR3, 1333MHz от MacBook Pro    ",гр. Чепеларе,"в 18:45, 16 април 2020"
229.0,"
        Памет RAM 16GB (2x8GB) Kingston Hyper X Predator RGB 3200Mhz,DDR4,CL16    ",Орландовци,"в 17:00, 16 април 2020"
25.0,"
        Mt 8jtf 4gb (2X2gb) ddr3 DIMM RAM    ",Три чучура - север,"в 15:53, 16 април 2020"
105.0,"
        RAM DDR4 2666MHz Samsung 16GB (2x8GB) SO-DIMM 260Pin    ",Княжево,"в 12:15, 16 април 2020"
159.0,"
        Рам памет Corsair Vengeance LED red 16GB (2x8GB) DDR4 2666MHz    ",Слатина,"в 21:19, 14 април 2020"
139.0,"
        Рам памет G.Skill Ripjaws V Series 16GB (2 x 8GB) DDR4 2400 Mhz    ",Слатина,"в 20:59, 14 април 2020"
279.0,"
        Acer TimeLine X`Core i5-2410M/8GB RAM/500GB-7200rpm/Nvidia 540M-2GB/HD    ",Студентски град,"в 20:23, 13 април 2020"
100.0,"
        Рам памет Team group delta rgb 8 gb ddr4 2x4 gb    ",Мототехника,"в 13:26, 13 април 2020"
1.0,"
        3gb 2x1gb ram pc2-6400u 2rx8 ddr2    ",Здравец Изток,"в 05:03, 13 април 2020"
1.0,"
        3gb 2x1gb ram pc2-6400u 2rx8 ddr2    ",Здравец Изток,"в 05:02, 13 април 2020"
4200.0,"
        PC/Workstation Server 2x8 XEON 2620v4 RAM 64GB ddr4 RX 480 8GB    ",Център,"в 20:03, 12 април 2020"
139.0,"
        16 GB DDR3 2x8 GB RAM памет    ",Васил Левски,"в 11:41, 12 април 2020"
200.0,"
        Компютър am2+, рам 8 GB, Процесор phenom x4, хард диск и windows 10    ",гр. Радомир,"в 10:30, 12 април 2020"
285.0,"
        HP 745G2-AMD Quadcore 2100Mhz Ram 8GB 1600Mhz HDD 500GB    ",Люлин 10,"в 23:22, 10 април 2020"
50.0,"
        Рам памет 8GB 2x4GB за. AMD 1333Mhz    ",Метро,"в 18:49, 10 април 2020"
140.0,"
        Рам памет 16GB (2x8GB) DDR4 2400mhz    ",7-ми 11-ти километър,"в 17:51, 10 април 2020"
99.0,"
        8 GB (2 x 4 GB Pair) ddr2 рам памет за сървър, работна станция.elpida    ",Христо Смирненски,"в 17:41, 10 април 2020"
300.0,"
        Meizu X8, нов, бял цвят, 4gb RAM, 64gb ROM, 6.2 инча, глобална версия    ",Христо Смирненски,"в 18:53, 9 април 2020"
149.9,"
        DDR4 16 GB kit (2x 8GB) Corsair Vengeance LED 3000MHz рам памет    ",Център,"в 14:13, 9 април 2020"
239.0,"
        Отлични HP Probook 6550b - 2.4i3 4/8gb ram 160gb HDD/SSD Windows 10    ",Младост 3,"в 13:37, 9 април 2020"
449.0,"
        LenovoThinkPad X201 12.1"" Intel Core i5-540M 2.53GHz. 8GB RAM 256GB SS    ",Дружба 1,"в 15:04, 6 април 2020"
30.0,"
        RAM 2x2GB 2Rx8 PC3-8500S-7-10-F2    ",СПЗ Модерно предградие,"в 07:17, 5 април 2020"
45.0,"
        RAM памет Samsung 8GB 2x4 PC2 6400 ddr2 800mhz 240 pin dimm    ",Изток,"в 19:31, 4 април 2020"
150.0,"
        Рам Памет Corsair 16GB (2x8GB), DDR3, 1600MHz, CL9, 1.5V, XMP    ",Изток,"в 16:51, 4 април 2020"
239.0,"
        Ram ADATA XPG 2x8GB 4000mhz CL17    ",гр. Лясковец,"в 19:31, 3 април 2020"
50.0,"
        Продавам Рам за Настолни РС-та 8Gb и 2x8Gb DDR4 Тествани Проверени    ",Гоце Делчев,"в 16:25, 3 април 2020"
309.0,"
        ASUS P5K Deluxe + X5460 4cores + 8GB (4х2GB) RAM+ HD 7870 OC 2GB 2    ",Христо Смирненски,"в 08:38, 3 април 2020"
150.0,"
        Най-бързата 16GB RAM 2x8GB Samsung PC4-2666V 2666 MHz    ",Младост 4,"в 13:52, 2 април 2020"
183.0,"
        Памет RAM 16GB (2X8GB) Patriot Viper Blackout 3200Mhz, DDR4, CL16    ",Орландовци,"в 10:21, 1 април 2020"
179.0,"
        Памет RAM 16GB (2X8GB) Patriot Viper Steel 3200Mhz, DDR4, CL16    ",Орландовци,"в 10:20, 1 април 2020"
20.0,"
        Рам Памети за лаптоп 1х8GB, 1х4GB, 1x2GB DDR3    ",Широк център,"в 20:24, 31 март 2020"
99.0,"
        Продавам Рам Памети за Настолни РС-та 2x8Gb DDR4 2133Mhz Перфектни    ",Гоце Делчев,"в 12:08, 31 март 2020"
160.0,"
        RAM памет, 2 X 8 GB, 3000 MHz, DDR4    ",Дружба 1,"в 13:56, 18 април 2020"
99.0,"
        Продавам Проверени Рам Памети за Настолни Samsung 2x8Gb DDR4 2133Mhz    ",Гоце Делчев,"в 13:11, 18 април 2020"
239.0,"
        Отлични HP Probook 6550b - 2.4i3 4/8gb ram 160gb HDD/SSD Windows 10    ",Младост 3,"в 13:37, 9 април 2020"
45.0,"
        RAM памет Samsung 8GB 2x4 PC2 6400 ddr2 800mhz 240 pin dimm    ",Изток,"в 23:29, 28 март 2020"
149.0,"
        Рам памет за лаптоп Samsung 16GB (2x8GB) SO-DIMM DDR4-2666Mhz    ",Слатина,"в 21:32, 28 март 2020"
60.0,"
        DDR 3 Ram сървърна 16gb(2x8gb) kit crucial    ",Базар Левски,"в 09:56, 28 март 2020"
60.0,"
        Рам DDR3 2x8gb Kingston HyperX FURY    ",Грамада,"в 18:18, 27 март 2020"
129.9,"
        16GB DDR4 Crucial 2x 8GB 2133 MHz ram / рам памет    ",Център,"в 11:22, 27 март 2020"
240.0,"
        Лаптоп ASUS R704A Intel Core i3 3120M 2ядра x2.5GHZ RAM8GB хард320gb    ",гр. Горна Оряховица,"в 10:02, 27 март 2020"
620.0,"
        Lenovo Y510P 15.6"" i7-4700MQ 3.40GHz, 8GB RAM, 128 SSD, 2x GT755M SLI    ",Център,"в 03:29, 27 март 2020"
56.0,"
        РАМ памет RAM Samsung Kingston 8GB 2x4GB DDR2-800 за AMD процесори    ",гр. Свищов,"в 23:46, 26 март 2020"
80.0,"
        G. SKILL Ripjaws X DDR3 2x4GB (8GB) 1600MHz Рам памет    ",Автогара,"в 19:40, 26 март 2020"
115.0,"
        Samsung 2x8GB DDR3 PC3L ECC Ram    ",Бизнес парк Варна,"в 19:41, 25 март 2020"
140.0,"
        Huawei MediaPad T3, 2GB RAM, 16GB Storage, Wi-Fi, 8"" Tablet ,    ",Люлин 10,"в 11:29, 25 март 2020"
189.0,"
        Памет RAM 16GB (2X8GB) GOODRAM IRDM PRO 3600Mhz Black, DDR4, CL17    ",Орландовци,"в 10:49, 24 март 2020"
179.0,"
        Памет RAM 16GB (2X8GB) Team Group T-FORCE VULCAN TUF 3200Mhz,DDR4,CL16    ",Орландовци,"в 10:41, 24 март 2020"
229.0,"
        Памет RAM 16GB(2X8GB) Team Group T-FORCE NIGHT HAWK RGB DDR4 3200Mhz    ",Орландовци,"в 10:41, 24 март 2020"
250.0,"
        Памет RAM 16GB (2x8GB) Asrock TEAM XCALIBUR PHANTOM Gaming RGB 3200Mhz    ",Орландовци,"в 08:54, 23 март 2020"
149.9,"
        DDR4 рам памет 16 GB (2x 8GB) Crucial Ballistix Sport LT    ",Център,"в 08:49, 23 март 2020"
150.0,"
        Дъно+четириядрен процесор+ 8GB RAM Athlon X4 740 3.2GHz 8GB DDR3    ",Идеален център,"в 23:37, 22 март 2020"
110.0,"
        РАМ памет Nanya кит 16GB (2x8GB) DDR3 1600MHz    ",Красно село,"в 14:00, 21 март 2020"
220.0,"
        Памет RAM 16GB (2X8GB) Patriot Viper RGB White 3200Mhz, DDR4, CL16    ",Орландовци,"в 12:14, 21 март 2020"
223.0,"
        Памет RAM 16GB (2X8GB) Patriot Viper RGB Black 3200Mhz, DDR4, CL16    ",Орландовци,"в 12:14, 21 март 2020"
211.0,"
        Памет RAM 16GB (2X8GB) Patriot Viper Steel 3600Mhz, DDR4, CL17    ",Орландовци,"в 12:13, 21 март 2020"
170.0,"
        Памет RAM 16GB (2X8GB) Patriot Viper Steel 3000Mhz, DDR4, CL16    ",Орландовци,"в 12:13, 21 март 2020"
98.0,"
        Памет RAM 8GB (2X4GB) Patriot Viper Blackout 3000Mhz, DDR4, CL16    ",Орландовци,"в 12:12, 21 март 2020"
60.0,"
        Продавам ram 8GB Micron (2 x 4GB 1600MHz DDR3    ",Овча купел 1,"в 12:03, 21 март 2020"
78.9,"
        Corsair Vengeance 8GB kit (2x 4GB) DDR3 рам памет    ",Център,"в 11:29, 21 март 2020"
50.0,"
        RAM SK Hynix памет за преносим компютър 8gb (2 x 4gb) DDR4    ",Дианабад,"в 05:47, 21 март 2020"
79.0,"
        Рам памет Kingston HyperX Predator 8GB (2x4GB) DDR4 3000MHz    ",Слатина,"в 16:02, 20 март 2020"
149.9,"
        Рам памет за лаптоп 16GB (2x 8GB) DDR3 1600MHz CL11 SODIMM    ",Бъкстон,"в 08:46, 20 март 2020"
63.0,"
        Смарт TV Box x96 mini, 2GB Ram, 16 GB Памет, Amlogic S905 с андроид 8.    ",Сухата река,"в 17:59, 18 март 2020"
159.0,"
        Памет RAM 16GB (2X8GB) Team Group T-FORCE DARK Z, 3000Mhz, DDR4, CL15    ",Орландовци,"в 10:49, 16 март 2020"
169.0,"
        Памет RAM 16GB(2X8GB) Team Group T-FORCE DELTA RGB BLACK,2666Mhz,DDR4    ",Орландовци,"в 10:48, 16 март 2020"
171.0,"
        Памет RAM 16GB (2x8GB) Kingston Hyper X Fury 3000Mhz, DDR4, CL15    ",Орландовци,"в 10:46, 16 март 2020"
157.0,"
        Памет RAM 16GB (2X8GB) Team Group T-FORCE DARK Z, 2666Mhz, DDR4, CL15    ",Орландовци,"в 10:35, 16 март 2020"
225.0,"
        Памет RAM 16GB (2x8GB) G.Skill TridentZ RGB DDR4 3000Mhz за компютър    ",Орландовци,"в 10:26, 16 март 2020"
799.0,"
        Геймърски компютър, RX 580 8GB, 12x 4,18GHz, 12GB RAM, 2TB    ",Орландовци,"в 19:50, 12 март 2020"
69.0,"
        Рам памет G Skill ARES 8GB 2x4GB DDR3 2133MHz    ",Слатина,"в 23:17, 6 март 2020"
300.0,"
        Геймърски AMD 4x3.2GHz/HD 6950/8Gb рам/500 Gb хард    ",МБАЛ Иван Рилски,"в 07:50, 6 март 2020"
50.0,"
        Рам памет 8GB 2x4gb 1600MHz    ",Метро,"в 15:54, 3 март 2020"
107.9,"
        Corsair Dominator Platinum 8GB kit (2x 4GB) DDR3 рам памет    ",Център,"в 07:53, 2 март 2020"
160.0,"
        Памет RAM 16GB(2X8GB) Kingston HyperX Fury DDR4 2666Mhz    ",Орландовци,"в 19:01, 28 февруари 2020"
